Wells,condition,treatment1,treatment2,column,row,firefly,renilla
A01,control,HEK,1,1,A,2010,2391540
B01,control,HEK,1,1,B,3210,2391639
C01,control,HEK,1,1,C,1965,2390991
D01,control,HEK,1,1,D,2381,2391774
E01,control,neuron,1,1,E,1292,269021
F01,control,neuron,1,1,F,991,268918
G01,control,neuron,1,1,G,965,262901
H01,control,neuron,1,1,H,988,236066
A02,geneA,HEK,1,2,A,1639000,2219540
B02,geneA,HEK,1,2,B,1639099,2219639
C02,geneA,HEK,1,2,C,1638451,2218991
D02,geneA,HEK,1,2,D,1639234,2219774
E02,geneA,neuron,1,2,E,103540,225821
F02,geneA,neuron,1,2,F,103437,225718
G02,geneA,neuron,1,2,G,91393,192201
H02,geneA,neuron,1,2,H,97246,221666
A03,geneB,HEK,1,3,A,1498000,2313540
B03,geneB,HEK,1,3,B,1498099,2313639
C03,geneB,HEK,1,3,C,1497451,2312991
D03,geneB,HEK,1,3,D,1498234,2313774
E03,geneB,neuron,1,3,E,163040,150821
F03,geneB,neuron,1,3,F,162937,150718
G03,geneB,neuron,1,3,G,147633,154201
H03,geneB,neuron,1,3,H,160366,169066
A04,control,HEK,drug1,4,A,1637,1580540
B04,control,HEK,drug1,4,B,1736,1580639
C04,control,HEK,drug1,4,C,1088,1579991
D04,control,HEK,drug1,4,D,1871,1580774
E04,control,neuron,drug1,4,E,831,202821
F04,control,neuron,drug1,4,F,728,202718
G04,control,neuron,drug1,4,G,622,187901
H04,control,neuron,drug1,4,H,634,208466
A05,geneA,HEK,drug1,5,A,720340,2217540
B05,geneA,HEK,drug1,5,B,720439,2217639
C05,geneA,HEK,drug1,5,C,719791,2216991
D05,geneA,HEK,drug1,5,D,720574,2217774
E05,geneA,neuron,drug1,5,E,284321,172721
F05,geneA,neuron,drug1,5,F,284218,172618
G05,geneA,neuron,drug1,5,G,250801,154901
H05,geneA,neuron,drug1,5,H,265666,180666
A06,geneB,HEK,drug1,6,A,1464540,1843540
B06,geneB,HEK,drug1,6,B,1464639,1843639
C06,geneB,HEK,drug1,6,C,1463991,1842991
D06,geneB,HEK,drug1,6,D,1464774,1843774
E06,geneB,neuron,drug1,6,E,538921,156121
F06,geneB,neuron,drug1,6,F,538818,156018
G06,geneB,neuron,drug1,6,G,529401,156501
H06,geneB,neuron,drug1,6,H,495866,162766
A07,control,HEK,drug2,7,A,1520,930940
B07,control,HEK,drug2,7,B,1619,931039
C07,control,HEK,drug2,7,C,971,930391
D07,control,HEK,drug2,7,D,1754,931174
E07,control,neuron,drug2,7,E,864,192021
F07,control,neuron,drug2,7,F,761,191918
G07,control,neuron,drug2,7,G,770,210101
H07,control,neuron,drug2,7,H,751,205466
A08,geneA,HEK,drug2,8,A,1045540,1355540
B08,geneA,HEK,drug2,8,B,1045639,1355639
C08,geneA,HEK,drug2,8,C,1044991,1354991
D08,geneA,HEK,drug2,8,D,1045774,1355774
E08,geneA,neuron,drug2,8,E,74391,179521
F08,geneA,neuron,drug2,8,F,74288,179418
G08,geneA,neuron,drug2,8,G,63311,159601
H08,geneA,neuron,drug2,8,H,72566,167466
A09,geneB,HEK,drug2,9,A,503940,699340
B09,geneB,HEK,drug2,9,B,504039,699439
C09,geneB,HEK,drug2,9,C,503391,698791
D09,geneB,HEK,drug2,9,D,504174,699574
E09,geneB,neuron,drug2,9,E,129821,145521
F09,geneB,neuron,drug2,9,F,129718,145418
G09,geneB,neuron,drug2,9,G,120501,134201
H09,geneB,neuron,drug2,9,H,128166,133066
A10,control,HEK,drug1&drug2,10,A,1242,680740
B10,control,HEK,drug1&drug2,10,B,1341,680839
C10,control,HEK,drug1&drug2,10,C,693,680191
D10,control,HEK,drug1&drug2,10,D,1476,680974
E10,control,neuron,drug1&drug2,10,E,668,159721
F10,control,neuron,drug1&drug2,10,F,565,159618
G10,control,neuron,drug1&drug2,10,G,568,161701
H10,control,neuron,drug1&drug2,10,H,589,178766
A11,geneA,HEK,drug1&drug2,11,A,291940,787140
B11,geneA,HEK,drug1&drug2,11,B,292039,787239
C11,geneA,HEK,drug1&drug2,11,C,291391,786591
D11,geneA,HEK,drug1&drug2,11,D,292174,787374
E11,geneA,neuron,drug1&drug2,11,E,240721,142321
F11,geneA,neuron,drug1&drug2,11,F,240618,142218
G11,geneA,neuron,drug1&drug2,11,G,135801,93561
H11,geneA,neuron,drug1&drug2,11,H,235066,135066
A12,geneB,HEK,drug1&drug2,12,A,599840,589140
B12,geneB,HEK,drug1&drug2,12,B,599939,589239
C12,geneB,HEK,drug1&drug2,12,C,599291,588591
D12,geneB,HEK,drug1&drug2,12,D,600074,589374
E12,geneB,neuron,drug1&drug2,12,E,457421,117721
F12,geneB,neuron,drug1&drug2,12,F,457318,117618
G12,geneB,neuron,drug1&drug2,12,G,439501,130501
H12,geneB,neuron,drug1&drug2,12,H,478166,137266
